Name,Team,Position
Aaron Judge,NYY,OF/DH
Cal Raleigh,SEA,C/DH
Shohei Ohtani,LAD,DH
Juan Soto,NYM,OF
Tarik Skubal,DET,SP
Garrett Crochet,BOS,SP
Kyle Schwarber,PHI,DH
José Ramírez,CLE,3B/DH
Paul Skenes,PIT,SP
Bobby Witt Jr.,KCR,SS
George Springer,TOR,OF/DH
Francisco Lindor,NYM,SS
Julio Rodríguez,SEA,OF
Bryan Woo,SEA,SP
Geraldo Perdomo,ARI,SS
Corbin Carroll,ARI,OF
Junior Caminero,TBR,3B
Hunter Brown,HOU,SP
Cristopher Sánchez,PHI,SP
Freddy Peralta,MIL,SP
Yoshinobu Yamamoto,LAD,SP
Nathan Eovaldi,TEX,SP
Hunter Goodman,COL,C/DH
Carlos Rodón,NYY,SP
Pete Alonso,NYM,1B
Max Fried,NYY,SP
Elly De La Cruz,CIN,SS
Trea Turner,PHI,SS
Fernando Tatis Jr.,SDP,OF
Pete Crow-Armstrong,CHC,OF
Byron Buxton,MIN,OF
Josh Naylor,ARI/SEA,1B/DH
Jacob deGrom,TEX,SP
Trevor Story,BOS,SS
Nick Pivetta,SDP,SP
Shea Langeliers,ATH,C
Zack Wheeler,PHI,SP
Brice Turang,MIL,2B
Cody Bellinger,NYY,OF
Eugenio Suárez,ARI/SEA,3B
Manny Machado,SDP,3B
Christian Yelich,MIL,DH
Nick Kurtz,ATH,1B
William Contreras,MIL,C/DH
Riley Greene,DET,OF/DH
Rafael Devers,BOS/SFG,1B/DH
Vladimir Guerrero Jr.,TOR,1B/DH
James Wood,WSN,OF/DH
Bo Bichette,TOR,SS
Matt Olson,ATL,1B
Trevor Rogers,BAL,SP
Joe Ryan,MIN,SP
Freddie Freeman,LAD,1B
Jazz Chisholm Jr.,NYY,2B/3B
Kyle Tucker,CHC,OF
Randy Arozarena,SEA,OF
Nico Hoerner,CHC,2B
Jackson Chourio,MIL,OF
Yandy Díaz,TBR,1B/DH
Brent Rooker,ATH,OF/DH
Maikel Garcia,KCR,3B
Gunnar Henderson,BAL,SS
Ben Rice,NYY,C/1B/DH
Vinnie Pasquantino,KCR,1B/DH
Andy Pages,LAD,OF
Salvador Perez,KCR,C/1B/DH
